Time (s),V_a (V),V_b (V),V_c (V),I_a (A),I_b (A),I_c (A)
0.0524,-17045.222936128648,24242.114679414397,-7196.891743285728,20.408163265306122,6.024096385542169,4.016064257028113
0.052500000000000005,-17606.958850000003,24051.55307248724,-6444.594222487213,20.408163265306122,6.024096385542169,4.016064257028113
0.0526,-18151.318821200377,23837.25548645671,-5685.9366652563085,20.408163265306122,6.024096385542169,4.016064257028113
0.052700000000000004,-18677.765632159444,23599.4334071678,-4921.6677750083345,20.408163265306122,6.024096385542169,4.016064257028113
0.0528,-19185.7797434336,23338.321536300115,-4152.541792866493,20.408163265306122,6.024096385542169,4.016064257028113
0.0529,-19674.85980642819,23054.177559745833,-3379.3177533176245,20.408163265306122,6.024096385542169,4.016064257028113
0.053000000000000005,-20144.5231581685,22747.281893304644,-2602.758735136121,20.408163265306122,6.024096385542169,4.016064257028113
0.0531,-20594.306297629402,22417.937405947418,-1823.6311083179962,20.408163265306122,6.024096385542169,4.016064257028113
0.053200000000000004,-21023.765343155326,22066.46912092087,-1042.7037777655255,20.408163265306122,6.024096385542169,4.016064257028113
0.0533,-21432.476470517453,21693.223894989114,-260.7474244716414,20.408163265306122,6.024096385542169,4.016064257028113
0.0534,-21820.036331177474,21298.570076127624,521.4662550498666,20.408163265306122,6.024096385542169,4.016064257028113
0.053500000000000006,-22186.06245034353,20882.89714000852,1303.1653103350245,20.408163265306122,6.024096385542169,4.016064257028113
0.0536,-22530.193604426833,20446.615305635005,2083.578298791848,20.408163265306122,6.024096385542169,4.016064257028113
0.053700000000000005,-22852.090177525846,19990.155130504554,2861.935047021308,20.408163265306122,6.024096385542169,4.016064257028113
0.0538,-23151.43449658589,19513.96708570103,3637.4674108848762,20.408163265306122,6.024096385542169,4.016064257028113
0.0539,-23427.931144904393,19018.52111133366,4409.410033570752,20.408163265306122,6.024096385542169,4.016064257028113
0.054,-23681.307253671257,18504.30615276334,5177.00110090793,20.408163265306122,6.024096385542169,4.016064257028113
0.0541,-23911.31277125764,17971.82967807214,5939.483093185516,20.408163265306122,6.024096385542169,4.016064257028113
0.054200000000000005,-24117.72070998657,17421.61717725397,6696.103532732612,20.408163265306122,6.024096385542169,4.016064257028113
0.0543,-24300.32737014243,16854.211643619252,7446.115726523191,20.408163265306122,6.024096385542169,4.016064257028113
0.054400000000000004,-24458.952540998052,16270.173037925842,8188.7795030722245,20.408163265306122,6.024096385542169,4.016064257028113
0.0545,-24593.439678660827,15670.077735765866,8923.361942894971,20.408163265306122,6.024096385542169,4.016064257028113
0.0546,-24703.656060562727,15054.51795875203,9649.138101810706,20.408163265306122,6.024096385542169,4.016064257028113
0.054700000000000006,-24789.49291644139,14424.101190066887,10365.391726374515,20.408163265306122,6.024096385542169,4.016064257028113
0.0548,-24850.86553568327,13779.44957495006,11071.41596073322,20.408163265306122,6.024096385542169,4.016064257028113
0.054900000000000004,-24887.71335092279,13121.199306715791,11766.51404420701,20.408163265306122,6.024096385542169,4.016064257028113
0.055,-24899.999997814994,12449.999998907459,12449.999998907544,20.408163265306122,6.024096385542169,4.016064257028113
0.0551,-24887.713350922786,11766.514044206844,13121.199306715951,20.408163265306122,6.024096385542169,4.016064257028113
0.055200000000000006,-24850.865535683268,11071.415960733133,13779.449574950142,20.408163265306122,6.024096385542169,4.016064257028113
0.0553,-24789.492916441377,10365.391726374344,14424.101190067038,20.408163265306122,6.024096385542169,4.016064257028113
